faction,title,type,rarity,health,attack,defense,speed,crit_rate,crit_damage,resist,accuracy,skill_1,skill_2,skill_3,skill_4,skill_5
Banner Lords,Baron,Attack,Legendary,15030,1575,1002,90,15,63,40,0,"Trample Level 1
 Attacks 1 enemy. Will attack all remaining enemies with any surplus
 
 damage if the target is killed. Has a 10% chance to unlock a secret
 skill, Skypiercer, for 1 turn.
 
 Damage based on: [ATK]
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 Lvl. 4 Damage +5%
 Lvl. 5 Damage +5%","Split Asunder Level 1
 Attacks 1 enemy. Places a 60% [Decrease DEF] debuff for 2 turns.
 This debuff is guaranteed. Has a 20% chance of unlocking a secret
 Skill, Skypiercer, for 1 turn.
 
 Damage based on: [ATK]
 
  
 
 v Decrease DEF
 
  
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 Lvl. 4 Damage +10%
 Lvl. 5 Cooldown -1","Righteous Charge Level 1
 Attacks 1 enemy. Damage increases according to the number of
 buffs on this Champion. Has a 40% chance to unlock a secret skill,
 Skypiercer, for 1 turn.
 
 Damage based on: [ATK]
 
  
 
 Lvl. 2 Damage +10%
 Lvl. 3 Damage +10%
 Lvl. 4 Cooldown -1
 Lvl. 5 Cooldown -1","Skypiercer Level 1
 Attacks all enemies. Deals Pure Damage. Will ignore [Shield] and
 {Block Damage] buffs.
 
 Damage based on: [ATK]
 
 ae ea;","Aura
 Increases Ally ATK in all Battles by 33%."
Banner Lords,Black Knight,HP,Legendary,22470,914,1167,100,15,57,50,0,"Heavy Blow Level 1
 Attacks 1 enemy. Places a [Provoke] debuff for 1 turn if this attack
 is critical.
 
 Damage based on: [ATK]
 
  
 
 ¥ Provoke
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 Lvl. 4 Damage +5%
 Lvl. 5 Damage +5%","Lower Visor Level 1
 Places a 15% [Continuous Heal] buff and a 30% [Increase DEF] buff
 on all allies for 2 turns.
 
  
 
 = Continuous Heal
 @ Increase DEF
 
 Lvl. 2 Cooldown -1","Last Breath Level 1
 Attacks all enemies. Damage increases according to the amount of
 HP this Champion has lost.
 
 Damage based on: [ATK]
 
  
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 Lvl. 4 Damage +5%
 Lvl. 5 Damage +5%","Valorous [Passive] Level 1
 Places an [Unkillable] buff on this Champion for 1 turn if incoming
 damage exceeds 30% MAX HP in one attack.
 
  
 
 % Unkillable",
Banner Lords,Lord Champfort,HP,Legendary,22305,1079,1013,97,15,50,40,20,"Annihilation Level 1
 Attacks 1 enemy. Has an extra 15% chance of inflicting a critical hit.
 
 Damage based on: [ATK]
 
  
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 Lvl. 4 Damage +5%
 Lvl. 5 Damage +10%","Earthshaker Level 1
 Attacks all enemies. Places a 50% [Decrease ACC] debuff anda
 50% [Decrease ATK] debuff for 2 turns.
 
  
 
 3A Decrease ATK
 ® Decrease ACC
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 Lvl. 4 Damage +5%
 Lvl. 5 Cooldown -1","Thornsphere [Passive] Level 1
 Places a [Shield] buff on this Champion for 2 turns at the start of
 each turn. Will place a 15% [Decrease SPD] debuff for 1 turn on
 whichever Champion destroys the [Shield].
 
 The value of the [Shield] is proportional to this Champion's MAX HP.
 
  
 
 @ Shield
 
  
 
 Lvl. 2 Cooldown -1","Aura
 Increases Ally HP in Dungeons by 50%.
 
 A er",
Banner Lords,Lugan the Steadfast,HP,Legendary,20475,925,1013,103,15,63,40,0,"Crushing Blow Level 1
 Attacks 1 enemy. Heals all allies except this Champion by 25% of
 the damage inflicted. Damage inflicted is proportional to MAX HP.
 
 Damage based on: [HP]
 
  
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 Lvl. 4 Damage +5%
 Lvl. 5 Damage +10%","Bodyguard Level 1
 Places a 60% [increase DEF] buff on this Champion for 3 turns. Also
 places a 50% [Ally Protection] buff on all allies for 2 turns.
 
 @ increase DEF
 % Ally Protection
 
 Lvl. 2 Cooldown -1","Mark of Silence Level 1
 Attacks all enemies. Has an 80% chance of placing a [Block
 Cooldown Skills] debuff for 2 turns.
 
 Damage based on: [ATK]
 
  
 
 8 Block Cooldown Skills
 
 Lvl. 2 Buff/Debuff Chance +5%
 Lvl. 3 Damage +5%
 
 Lvl. 4 Buff/Debuff Chance +5%
 Lvl. 5 Damage +5%
 
 Lvl. 6 Buff/Debuff Chance +10%
 Lvl. 7 Damage +10%",,
Banner Lords,Raglin,Support,Legendary,20310,1156,1068,104,15,50,50,0,"Repent Level 1
 Attacks 1 enemy. Fills a random ally's Turn Meter by 15%.
 
 Damage based on: [ATK]
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 Lvl. 4 Damage +5%
 Lvl. 5 Damage +10%
 
 rs","Mercy Level 1
 Removes all debuffs on all allies, then heals them. The heal amount
 is proportional to this Champion's ATK.
 
  
 
 Lvl. 2 Heal +5%
 Lvl. 3 Heal +5%
 Lvl. 4 Heal +10%
 Lvl. 5 Heal +10%","Miracle Level 1
 Revives an ally with 75% HP and a full Turn Meter.
 
  
 
 Lvl. 2 Cooldown -1","Aura
 Increases Ally DEF in all Battles by 33%.",
Banner Lords,Richtoff the Bold,Attack,Legendary,18825,1398,925,95,15,43,30,0,"Ruination Level 1
 Attacks all enemies. Decreases each target's MAX HP by 10% of
 the damage dealt.
 
 Damage based on: [ATK]
 
  
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 Lvl. 4 Damage +5%
 Lvl. 5 Damage +5%
 er","Bloodletting Level 1
 Attacks 1 enemy 3 times. Places a 5% [Poison] debuff for 2 turns.
 This debuff cannot be removed.
 
 Damage based on: [ATK]
 
  
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 Lvl. 4 Damage +5%
 Lvl. 5 Cooldown -1","Cursehold Level 1
 Attacks 1 enemy. Copies one random debuff on the target and
 places it on all enemies.
 
 Damage based on: [ATK]
 
  
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 Lvl. 4 Cooldown -1",,
Banner Lords,Septimus,Attack,Legendary,13710,1674,991,102,15,63,30,0,"Behead Level 1
 Attacks 1 enemy. Grants an Extra Turn and resets the cooldown on
 this Champion's Holy Sword Skill if the target is killed.
 
 Damage based on: [ATK]
 
  
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 Lvl. 4 Damage +5%
 Lvl. 5 Damage +10%","Holy Sword Level 1
 Attacks 1 enemy. Will ignore [Shield] and [Block Damage] buffs.
 Damage increases according to enemy MAX HP.
 
 Damage based on: [ATK] [Enemy MAX HP]
 
  
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 Lvl. 4 Damage +5%
 Lvl. 5 Damage +10%","Giant Killer [Passive] Level 1
 Each attack has a 30% chance of increasing the duration of all
 debuffs on the target by 1 turn. Damage inflicted by each attack
 increases by 30% if the enemy's current HP is over 50%.
 
 7]","Aura
 Increases Ally ATK in all Battles by 23%.",
Banner Lords,Sethallia,Support,Legendary,18000,1024,1354,108,15,50,30,0,"Put to Flame Level 1
 Attacks 1 enemy. Has a 30% chance of placing a [HP Burn] debuff
 for 2 turns.
 
 Damage based on: [ATK]
 
  
 
 @ HPBum
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 Lvl. 4 Buff/Debuff Chance +10%
 
 i Ni La","Lordly Embrace Level 1
 Heals a target ally by 75% of their MAX HP and places a [Block
 Debuffs] buff for 2 turns.
 
  
 
 Y Block Debuffs
 
  
 
 Lvl. 2 Heal +5%
 Lvl. 3 Heal +5%
 Lvl. 4 Cooldown -1","Aggress Level 1
 Attacks 3 times at random. Places a 10% {Leech] debuff for 2 turns
 on the third hit.
 
 Damage based on: [ATK]
 
  
 
 6 Leech
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +10%
 Lvl. 4 Damage +10%
 Lvl. 5 Cooldown -1","Aura
 Increases Magic Ally RESIST in all Battles by 50.",
Banner Lords,Cataphract,HP,Rare,18330,991,815,97,15,50,40,0,"Sure Strike Level 1
 Attacks 1 enemy. Has a 20% chance of placing a 50% [Decrease
 ACC] debuff on the target for 1 turn.
 
 Damage based on: [ATK]
 
  
 
 eS Decrease ACC
 
  
 
 Lvl. 2 Damage +10%
 
 Lvl. 3 Buff/Debuff Chance +5%
 Lvl. 4 Buff/Debuff Chance +5%
 Lvl. 5 Buff/Debuff Chance +10%","Fortify Level 1
 Places a [Block Debuffs] buff and a 60% [Increase DEF] buff on this
 Champion for 2 turns.
 
  
 
 @ increase DEF
 Y Block Debuffs
 
 Lvl. 2 Cooldown -1","Helmcleaver Level 1
 Attacks 1 enemy. Will Ignore DEF if the target has less than 50% HP.
 Damage increases according to this Champion's MAX HP.
 
 Damage based on: [ATK] [HP]
 
  
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 Lvl. 4 Damage +5%
 Lvl. 5 Damage +10%","Aura
 Increases Ally HP in the Arena by 25%.
 a ad
 
 ,
 
  
 
 oT” TAR RIESE
 y out",
Banner Lords,Chevalier,Defense,Rare,16680,804,1112,98,15,50,30,0,"Hack Through Level 1
 Attacks 1 enemy 2 times. Has a 20% chance of repeating the
 attack. Will ignore [Block Damage] and [Shield] buffs.
 
 Damage based on: [DEF]
 
  
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 Lvl. 4 Damage +5%
 Lvl. 5 Damage +10%
 
  
 
 tT G&S aD tf","Stern Rebuke Level 1
 Attacks 1 enemy. Has a 50% chance of placing a [Stun] debuff for 1
 turn.
 
 Damage based on: [DEF]
 
 © Stun
 
 Lvl. 2 Buff/Debuff Chance +5%
 Lvl. 3 Buff/Debuff Chance +10%
 Lvl. 4 Buff/Debuff Chance +10%
 Lvl. 5 Cooldown -1","Lord Protector Level 1
 Places a 30% [Increase DEF] buff and a 7.5% [Continuous Heal] buff
 on all allies for 2 turns.
 
 @ Increase DEF
 &? Continuous Heal",,
Banner Lords,Conquerer,Attack,Rare,12225,1421,793,99,15,57,30,0,"Swift Blow Level 1
 Attacks 1 enemy 2 times.
 
 Damage based on: [ATK]
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 Lvl. 4 Damage +5%
 Lvl. 5 Damage +5%","Cut Down To Size Level 1
 Attacks 1 enemy. Removes 2 random buffs from the target.
 
 Damage based on: [ATK]
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 Lvl. 4 Cooldown -1
 
 Lvl. 5 Cooldown -1
 
 7","Purge Level 1
 Attacks 1 enemy. Enemies killed by this skill cannot be revived.
 Damage based on: [ATK]
 w Block Revive
 
  
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 Lvl. 4 Cooldown -1
 Lvl. 5 Damage +5%
 Lvl. 6 Damage +10%
 Lvl. 7 Cooldown -1","Aura
 Increases Ally ATK in all Battles by 18%.",
Banner Lords,Courtier,Attack,Rare,12720,1277,903,92,15,57,30,0,"Outmaneuver Level 1
 Attacks 1 enemy. Has a 25% chance of placing a [Freeze] debuff for
 1 turn.
 
 Damage based on: [ATK]
 & Freeze
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 Lvl. 4 Damage +5%
 Lvl. 5 Damage +10%","Denigrate Level 1
 Attacks 1 enemy 3 times. Each hit has a 30% chance of removing 1
 random buff from the target.
 
 Damage based on: [ATK]
 
  
 
 Lvl. 2 Damage +5%
 
 Lvl. 3 Damage +5%
 
 Lvl. 4 Buff/Debuff Chance +5%
 Lvl. 5 Damage +10%
 
 Lvl. 6 Cooldown -1","Whirling Blow Level 1
 Attacks all enemies 2 times. Has a 33% chance of placing a 30%
 {Decrease SPD] debuff for 2 turns.
 
 Damage based on: [ATK]
 
  
 
 = Decrease SPD
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 Lvl. 4 Damage +10%
 Lvl. 5 Cooldown -1",,
Banner Lords,Crossbowman,Attack,Rare,13875,1189,936,95,15,57,30,0,"Snap Shot Level 1
 Attacks 1 enemy. Has a 15% chance of placing an extra hit.
 
 Damage based on: [ATK]
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 Lvl. 4 Damage +10%
 
 To","Sharp Eye Level 1
 Places a 30% [Increase C. RATE] buff on a target ally for 2 turns.
 Grants an Extra Turn.
 
  
 
 W increase C. RATE
 
  
 
 Lvl. 2 Cooldown -1","Blunted Arrow Level 1
 Attacks 1 enemy. Has a 50% chance of placing a [Stun] debuff for 1
 turn. Also has a 50% chance of placing a 30% [Decrease SPD]
 debuff for 2 turns.
 
 Damage based on: [ATK]
 
  
 
 © Stun
 
 ef Decrease SPD
 
 Lvl. 2 Damage +10%
 Lvl. 3 Buff/Debuff Chance +10%
 Lvl. 4 Damage +15%
 Lvl. 5 Buff/Debuff Chance +15%
 
 WP",,
Banner Lords,Grandmaster,HP,Rare,16185,892,1057,100,15,50,40,0,"Hammerblows Level 1
 Attacks 1 enemy 3 times.
 
 Damage based on: [ATK]
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 Lvl. 4 Damage +10%","Steel Crusher Level 1
 Attacks 1 enemy. Has a 40% chance of placing a 25% [Decrease
 ATK] debuff on the target for 2 turns.
 
 Damage based on: [ATK]
 
  
 
 x Decrease ATK
 
 Lvl. 2 Damage +5%
 
 Lvl. 3 Buff/Debuff Chance +10%
 Lvl. 4 Buff/Debuff Chance +10%
 Lvl. 5 Cooldown -1","Demoralizing Display Level 1
 Attacks 1 enemy. Has a 50% chance of placing a [Provoke] debuff
 on the target for 1 turn.
 
 Damage based on: [ATK]
 
  
 
 - Provoke
 
 Lvl. 2 Damage +5%
 
 Lvl. 3 Damage +10%
 
 Lvl. 4 Buff/Debuff Chance +10%
 Lvl. 5 Buff/Debuff Chance +15%
 Lvl. 6 Cooldown -1","Aura
 Increases Magic Ally HP in all Battles by 17%.",
Banner Lords,Halberdier,Attack,Rare,12060,1178,1046,97,15,57,30,0,"Hew Level 1
 Attacks 1 enemy. Has a 25% chance of placing a 25% [Weaken]
 debuff for 2 turns.
 
 Damage based on: [ATK]
 
  
 
 & Weaken
 
  
 
 Lvl. 2 Buff/Debuff Chance +5%
 Lvl. 3 Buff/Debuff Chance +5%
 Lvl. 4 Buff/Debuff Chance +5%
 Lvl. 5 Buff/Debuff Chance +10%","Bisect Level 1
 Attacks 1 enemy. Will ignore [Shield] and [Block Damage] buffs.
 
 Damage based on: [ATK]
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 Lvl. 4 Damage +5%
 Lvl. 5 Damage +5%
 Lvl. 6 Cooldown -1","Cleaving Ax [Passive] Level 1
 Increases C. DMG by 40%.
 ‘ 4]",,
Banner Lords,Preserver,Defense,Rare,16350,771,1167,102,15,50,40,0,"Exhausting Assault Level 1
 Attacks 1 enemy 2 times. Has a 15% chance of placing a 30%
 {Decrease SPD) debuff for 2 turns.
 
 Damage based on: [ATK]
 
  
 
 = Decrease SPD
 
 Lvl. 2 Damage +5%
 Lvl. 3 Buff/Debuff Chance +5%
 Lvl. 4 Damage +5%
 Lvl. 5 Buff/Debuff Chance +5%","Recuperate Level 1
 Places a 7.5% {Continuous Heal] buff and a [Shield] buff on this
 Champion for 2 turns. The value of the [Shield] is proportional to this
 Champion's MAX HP.
 
 @ Shield
 =? Continuous Heal
 
 Lvl. 2 Shield +5%
 Lvl. 3 Shield +5%
 Lvl. 4 Cooldown -1","Ice Blow Level 1
 Attacks 1 enemy. Has a 75% chance of placing a [Freeze] debuff for
 1 turn.
 
 Damage based on: [ATK]
 
  
 
 * Freeze
 
 Lvl. 2 Damage +5%
 Lvl. 3 Buff/Debuff Chance +5%
 Lvl. 4 Buff/Debuff Chance +10%
 Lvl. 5 Damage +10%
 
 Lvl. 6 Buff/Debuff Chance +10%
 Lvl. 7 Cooldown -1","Aura
 Increases Ally HP in all Battles by 17%.",
Banner Lords,Valerie,Support,Rare,15855,969,1002,98,15,50,30,0,"Swing Level 1
 Attacks 1 enemy.
 
 Damage based on: [ATK]
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 Lvl. 4 Damage +5%
 Lvl. 5 Damage +5%","Energizing Presence Level 1
 Increases the duration of all buffs on all allies by 1 turn. Also
 decreases the duration of all debuffs on all allies by 1 turn. Places a
 25% [increase ATK] buff on all allies for 2 turns.
 
 rd Increase ATK
 
 Lvl. 2 Cooldown -1","Protect Level 1
 Places a [Shield] buff on all allies for 2 turns. The value of the
 [Shield] depends on this Champion's Level. Heals each ally
 according to the number of buffs they are currently under.
 
  
 
 @ Shield
 
  
 
 Lvl. 2 Shield +5%
 Lvl. 3 Shield +5%
 Lvl. 4 Shield +5%
 Lvl. 5 Shield +5%",,
Banner Lords,Archer,Attack,Uncommon,13050,1156,727,97,15,50,30,0,"Double Shot Level 1
 Attacks 1 enemy 2 times. Has an extra 15% chance of inflicting a
 critical hit. Fills this Champion's Turn Meter by 15% if this attack is
 critical.
 
 Damage based on: [ATK]
 
  
 
 Lvl. 2 Damage +5%
 Lvl. 3 Damage +5%
 Lvl. 4 Damage +5%
 Lvl. 5 Damage +10%
 
  
 
 , >","Rain of Arrows Level 1
 Attacks all enemies 2 times. Has a 10% chance to place a 15%
 {Decrease SPD] debuff for 1 turn.
 
 Damage based on: [ATK]
 
  
 
 z Decrease SPD
 
 Lvl. 2 Damage +5%
 
 Lvl. 3 Cooldown -1
 
 Lvl. 4 Buff/Debuff Chance +5%
 Lvl. 5 Damage +10%
 
 Lvl. 6 Buff/Debuff Chance +5%
 Lvl. 7 Damage +15%
 
 Lvl. 8 Buff/Debuff Chance +5%",,,
Banner Lords,Commander,Support,Uncommon,15690,936,771,101,15,50,30,0,"Holy Fire Level 1
 Attacks 1 enemy. Has a 15% chance of placing a [Stun] debuff for 1
 turn.
 
 Damage based on: [ATK]
 
 © Stun
 
 Lvl. 2 Damage +5%
 
 Lvl. 3 Damage +5%
 
 Lvl. 4 Damage +10%
 
 Lvl. 5 Buff/Debuff Chance +5%
 Lvl. 6 Damage +10%
 
 Lvl. 7 Damage +10%
 
 Lvl. 8 Buff/Debuff Chance +5%","Quickheal Level 1
 Heals the ally with the lowest HP by 40% of this Champion's HP.
 Completely fills the target's Turn Meter if the ally is fully healed.
 This Champion's Turn Meter cannot be filled by this Skill.
 
 Lvl. 2 Heal +5%
 Lvl. 3 Heal +5%
 Lvl. 4 Heal +5%
 Lvl. 5 Heal +10%
 Lvl. 6 Cooldown -1
 Lvl. 7 Cooldown -1",,,
